locus,gene_name,chr,orientation,start,end,goi
AT1G55790,AT1G55790,1,R,20852324,20856122,False
AT1G55800,AT1G55800,1,R,20856922,20858235,False
AT1G55805,BolA1,1,R,20858723,20859439,False
AT1G55810,UCK3,1,F,20860609,20864266,False
AT1G55820,AT1G55820,1,F,20864339,20867611,False
AT1G55830,AT1G55830,1,R,20867872,20870338,False
AT1G55840,AT1G55840,1,F,20873602,20876272,False
AT1G55850,CSLE1,1,F,20876699,20879482,False
AT1G55860,UPL1,1,R,20879466,20895393,False
AT1G55870,AHG2,1,F,20895585,20898422,False
AT1G55880,AT1G55880,1,R,20898898,20901183,False
AT1G55890,RPPR3a,1,F,20901346,20902800,False
AT1G55900,TIM50,1,F,20903053,20905728,False
AT1G55910,ZIP11,1,F,20906134,20907413,False
AT1G55915,WSS1A,1,F,20907547,20909638,False
AT1G55920,SERAT2;1,1,F,20912116,20913447,False
AT1G55928,AT1G55928,1,F,20917190,20918462,False
AT1G55930,MRG9,1,F,20918717,20922232,False
AT1G55940,AT1G55940,1,R,20922459,20925619,False
AT1G55950,AT1G55950,1,R,20926839,20927450,False
AT1G55960,AT1G55960,1,R,20927643,20930017,False
AT1G55964,AT1G55964,1,F,20931032,20931975,False
AT1G55970,HAC4,1,R,20932129,20938290,False
AT1G55980,AT1G55980,1,R,20938899,20941813,False
AT1G55990,AT1G55990,1,R,20942487,20942951,False
AT1G56000,AT1G56000,1,F,20944141,20946718,False
AT1G56010,NAC1,1,R,20946571,20949281,False
AT1G56020,AT1G56020,1,F,20952144,20953547,False
AT1G56030,PUB57,1,R,20957098,20958550,False
AT1G56040,PUB58,1,R,20960356,20962334,False
AT1G56045,AT1G56045,1,F,20962624,20963464,False
AT1G56050,EngD-2,1,F,20963719,20966341,False
AT1G56060,AthCYSTM3,1,R,20966528,20967144,False
AT1G56070,LOS1,1,R,20967930,20971742,False
AT1G56080,NAIP3,1,R,20974161,20976291,False
AT1G56085,AT1G56085,1,F,20976515,20977541,False
AT1G56090,AT1G56090,1,R,20977695,20979357,False
AT1G56100,PMEI14,1,R,20980369,20984058,False
AT1G56110,NOP56,1,R,20984389,20986951,False
AT1G56120,AT1G56120,1,R,20987288,20993072,False
AT1G56130,AT1G56130,1,R,20994931,21000887,False
AT1G56140,AT1G56140,1,R,21001574,21007809,False
AT1G56145,AT1G56145,1,R,21008093,21014018,False
AT1G56150,SAUR71,1,F,21017385,21017939,False
AT1G56160,MYB72,1,F,21022384,21023587,False
AT1G56165,AT1G56165,1,R,21022759,21024402,False
AT1G56170,NF-YC2,1,F,21024764,21025883,False
AT1G56180,VIR3,1,R,21025904,21028064,False
AT1G56190,cPGK2,1,F,21028216,21030649,False
AT1G56200,EMB1303,1,F,21030794,21032078,False
AT1G56210,AtHMP10,1,F,21035618,21037211,False
AT1G56220,AT1G56220,1,F,21043348,21044738,False
AT1G56230,AT1G56230,1,R,21046009,21049194,False
AT1G56233,AT1G56233,1,R,21050540,21051017,False
AT1G56240,PP2-B13,1,R,21056232,21057577,False
AT1G56242,AT1G56242,1,F,21056401,21057815,False
AT1G56250,PP2-B14,1,R,21061600,21062995,False
AT1G56260,MDO1,1,R,21064279,21065853,False
AT1G56270,AT1G56270,1,R,21071017,21071650,False
AT1G56280,DIL9,1,R,21072855,21074877,False
AT1G56290,AT1G56290,1,F,21075286,21078778,False
AT1G56300,DjC53,1,R,21078820,21080423,False
AT1G56310,ATRM2,1,F,21082863,21085651,False
AT1G56320,AT1G56320,1,R,21085548,21086494,False
AT1G56330,SAR1B,1,R,21086555,21088549,False
AT1G56340,CRT1a,1,R,21089844,21092660,False
AT1G56345,RLUA4,1,R,21092993,21094461,False
AT1G56350,AT1G56350,1,F,21094778,21097988,False
AT1G56360,PAP6,1,R,21098603,21100842,False
AT1G56380,mTERF23,1,F,21101327,21102701,False
AT1G56385,AT1G56385,1,R,21106315,21106797,False
AT1G56390,AT1G56390,1,F,21107988,21110752,False
AT1G56400,AT1G56400,1,R,21111805,21113621,False
AT1G56410,ERD2,1,F,21117147,21119241,False
AT1G56415,AT1G56415,1,F,21119829,21120395,False
AT1G56418,AT1G56418,1,F,21122030,21122448,False
AT1G56420,AT1G56420,1,R,21122551,21124234,False
AT1G56423,AT1G56423,1,F,21128912,21130839,False
AT1G56430,NAS4,1,F,21136944,21138087,False
AT1G56440,TPR5,1,R,21138530,21141571,False
AT1G56450,PBG1,1,F,21141883,21144400,False
AT1G56460,IES2C,1,F,21146239,21149805,False
AT1G56470,AT1G56470,1,F,21149706,21150153,False
AT1G56480,AT1G56480,1,R,21150293,21152844,False
AT1G56490,AT1G56490,1,R,21155295,21157567,False
AT1G56500,SOQ1,1,F,21159744,21167321,False
AT1G56510,WRR4,1,F,21167589,21173632,False
AT1G56520,AT1G56520,1,R,21174664,21178974,False
AT1G56530,AT1G56530,1,F,21179237,21180888,False
AT1G56540,AT1G56540,1,F,21181664,21185306,False
AT1G56550,RGXT3,1,R,21185662,21188369,False
AT1G56553,AT1G56553,1,F,21189722,21190175,False
AT1G56555,AT1G56555,1,R,21191121,21192217,False
AT1G56560,A/N-InvA,1,F,21192499,21195112,False
AT1G56570,PGN,1,F,21195804,21197721,False
AT1G56580,SVB,1,R,21198259,21198956,False
AT1G56590,ZIP4,1,R,21202020,21204742,False
AT1G56600,GolS2,1,F,21207537,21209596,False
AT1G56605,AT1G56605,1,F,21210482,21211008,False
AT1G56610,AT1G56610,1,F,21211719,21214562,False
AT1G56612,AT1G56612,1,R,21214118,21215406,False
AT1G56620,AT1G56620,1,F,21219818,21220357,False
AT1G56630,AT1G56630,1,R,21223593,21226943,False
AT1G56640,AT1G56640,1,R,21229999,21230469,False
AT1G56650,PAP1,1,R,21233595,21235137,False
AT1G56660,AT1G56660,1,F,21237888,21240558,False
AT1G56670,AT1G56670,1,F,21241673,21244047,False
AT1G56675,AT1G56675,1,R,21244466,21248926,False
AT1G56680,AT1G56680,1,R,21250338,21251417,False
AT1G56690,AT1G56690,1,F,21253817,21255931,False
AT1G56700,AT1G56700,1,F,21256176,21257973,False
AT1G56710,PGL1,1,R,21258008,21259933,False
AT1G56720,AT1G56720,1,R,21263420,21266368,False
AT1G56730,AT1G56730,1,F,21268787,21268868,False
AT1G56740,AT1G56740,1,F,21269122,21269158,False
AT1G56750,AT1G56750,1,F,21269552,21269588,False
AT1G56760,AT1G56760,1,F,21270296,21270377,False
AT1G56770,AT1G56770,1,F,21270631,21270667,False
AT1G56780,AT1G56780,1,F,21271061,21271097,False
AT1G56790,AT1G56790,1,F,21271805,21271886,False
AT1G56800,AT1G56800,1,F,21272140,21272176,False
AT1G56810,AT1G56810,1,F,21272570,21272606,False
AT1G56820,AT1G56820,1,F,21273314,21273395,False
AT1G56830,AT1G56830,1,F,21273649,21273685,False
AT1G56840,AT1G56840,1,F,21274079,21274115,False
AT1G56850,AT1G56850,1,F,21274823,21274904,False
AT1G56860,AT1G56860,1,F,21275158,21275194,False
AT1G56870,AT1G56870,1,F,21275609,21275645,False
AT1G56880,AT1G56880,1,F,21276352,21276433,False
AT1G56890,AT1G56890,1,F,21276687,21276723,False
AT1G56900,AT1G56900,1,F,21277117,21277153,False
AT1G56910,AT1G56910,1,F,21277861,21277942,False
AT1G56920,AT1G56920,1,F,21278196,21278232,False
AT1G56930,AT1G56930,1,F,21278647,21278683,False
AT1G56940,AT1G56940,1,F,21279390,21279471,False
AT1G56950,AT1G56950,1,F,21279720,21279756,False
AT1G56960,AT1G56960,1,F,21280178,21280214,False
AT1G56970,AT1G56970,1,F,21280922,21281003,False
AT1G56980,AT1G56980,1,F,21281252,21281288,False
AT1G56990,AT1G56990,1,F,21281710,21281746,False
AT1G57000,AT1G57000,1,F,21282454,21282535,False
AT1G57010,AT1G57010,1,F,21282784,21282820,False
AT1G57020,AT1G57020,1,F,21283242,21283278,False
AT1G57030,AT1G57030,1,F,21283986,21284067,False
AT1G57040,AT1G57040,1,F,21284316,21284352,False
AT1G57050,AT1G57050,1,F,21284774,21284810,False
AT1G57060,AT1G57060,1,F,21285519,21285600,False
AT1G57070,AT1G57070,1,F,21285849,21285885,False
AT1G57080,AT1G57080,1,F,21286306,21286342,False
AT1G57090,AT1G57090,1,F,21287050,21287131,False
AT1G57100,AT1G57100,1,F,21287380,21287416,False
AT1G57110,AT1G57110,1,F,21287837,21287873,False
AT1G57120,AT1G57120,1,F,21288581,21288662,False
AT1G57130,AT1G57130,1,F,21288910,21288946,False
AT1G57140,AT1G57140,1,F,21289368,21289404,False
AT1G57150,AT1G57150,1,F,21290112,21290193,False
AT1G57160,AT1G57160,1,F,21290445,21290481,False
AT1G57170,AT1G57170,1,F,21290903,21290939,False
AT1G57180,AT1G57180,1,F,21291461,21291542,False
AT1G57190,AT1G57190,1,F,21291791,21291827,False
AT1G57200,AT1G57200,1,F,21292248,21292284,False
AT1G57210,AT1G57210,1,F,21292992,21293073,False
AT1G57220,AT1G57220,1,F,21293325,21293361,False
AT1G57230,AT1G57230,1,F,21293783,21293819,False
AT1G57240,AT1G57240,1,F,21294341,21294422,False
AT1G57250,AT1G57250,1,F,21294671,21294707,False
AT1G57260,AT1G57260,1,F,21295128,21295164,False
AT1G57270,AT1G57270,1,F,21295872,21295953,False
AT1G57280,AT1G57280,1,F,21296205,21296241,False
AT1G57290,AT1G57290,1,F,21296663,21296699,False
AT1G57300,AT1G57300,1,F,21297221,21297302,False
AT1G57310,AT1G57310,1,F,21297551,21297587,False
AT1G57320,AT1G57320,1,F,21298009,21298045,False
AT1G57330,AT1G57330,1,F,21298753,21298834,False
AT1G57340,AT1G57340,1,F,21299086,21299122,False
AT1G57350,AT1G57350,1,F,21299544,21299580,False
AT1G57360,AT1G57360,1,F,21300102,21300183,False
AT1G57370,AT1G57370,1,F,21300432,21300468,False
AT1G57380,AT1G57380,1,F,21300890,21300926,False
AT1G57390,AT1G57390,1,F,21301634,21301715,False
AT1G57400,AT1G57400,1,F,21301967,21302003,False
AT1G57410,AT1G57410,1,F,21302425,21302461,False
AT1G57420,AT1G57420,1,F,21302983,21303064,False
AT1G57430,AT1G57430,1,F,21303317,21303353,False
AT1G57440,AT1G57440,1,F,21303777,21303813,False
AT1G57450,AT1G57450,1,F,21304520,21304603,False
AT1G57460,AT1G57460,1,F,21304856,21304892,False
AT1G57470,AT1G57470,1,F,21305311,21305347,False
AT1G57480,AT1G57480,1,F,21306055,21306136,False
AT1G57490,AT1G57490,1,F,21306389,21306425,False
AT1G57500,AT1G57500,1,F,21306849,21306885,False
AT1G57510,AT1G57510,1,F,21307592,21307675,False
AT1G57520,AT1G57520,1,F,21307928,21307964,False
AT1G57530,AT1G57530,1,F,21308387,21308423,False
AT1G57540,AT1G57540,1,R,21310329,21311502,False
AT1G57550,AT1G57550,1,R,21312541,21312809,False
AT1G57560,MYB50,1,F,21316828,21318064,False
AT1G57565,AT1G57565,1,F,21319635,21320213,False
AT1G57570,AT1G57570,1,F,21320938,21324637,False
AT1G57580,AT1G57580,1,F,21325079,21326252,False
AT1G57590,PAE2,1,R,21327360,21329763,False
AT1G57600,AT1G57600,1,R,21330512,21334727,False
AT1G57610,MCU2,1,R,21337209,21338756,False
AT1G57613,AT1G57613,1,F,21340183,21340716,False
AT1G57620,CYB,1,F,21342721,21344804,False
AT1G57630,AT1G57630,1,F,21345639,21346157,False
AT1G57640,AT1G57640,1,R,21346354,21350793,False
AT1G57650,AT1G57650,1,F,21351291,21354311,False
AT1G57660,AT1G57660,1,F,21355520,21356537,False
AT1G57670,AT1G57670,1,R,21357169,21359872,False
AT1G57680,Cand1,1,R,21362488,21364728,False
AT1G57690,AT1G57690,1,R,21366721,21368150,False
AT1G57700,AT1G57700,1,F,21370683,21374080,False
AT1G57710,AT1G57710,1,R,21374319,21374389,False
AT1G57720,AT1G57720,1,F,21377615,21380382,False
AT1G57730,AT1G57730,1,R,21380858,21381382,False
AT1G57740,AT1G57740,1,F,21382131,21383304,False
AT1G57750,CYP96A15,1,R,21383981,21385709,False
AT1G57760,AT1G57760,1,F,21390003,21390565,False
AT1G57765,AT1G57765,1,F,21393351,21394962,False
AT1G57770,AT1G57770,1,F,21395196,21398280,False
AT1G57775,AT1G57775,1,R,21399618,21400068,False
AT1G57777,AT1G57777,1,R,21401235,21401798,False
AT1G57780,AtHMP11,1,F,21403000,21404228,False
AT1G57790,AtFDR1,1,R,21404408,21405956,False
AT1G57800,AT1G57800,1,R,21408623,21412283,False
AT1G57810,AT1G57810,1,R,21413055,21413738,False
AT1G57820,VIM1,1,R,21414170,21417946,False
AT1G57830,AT1G57830,1,F,21420309,21420803,False
AT1G57835,AT1G57835,1,F,21422460,21423346,False
AT1G57840,AT1G57840,1,F,21424799,21426173,False
AT1G57850,AT1G57850,1,F,21425481,21427349,False
AT1G57860,AT1G57860,1,R,21429898,21430865,False
AT1G57870,SK42,1,R,21431051,21436103,False
AT1G57906,AtFDA2,1,F,21435427,21436810,False
AT1G57943,PUP17,1,R,21437602,21438889,False
AT1G57980,AT1G57980,1,R,21439232,21440805,False
AT1G57990,PUP18,1,R,21441505,21442920,False
AT1G58007,AT1G58007,1,R,21445903,21447341,False
AT1G58010,AT1G58010,1,R,21448885,21449134,False
AT1G58020,AT1G58020,1,R,21450213,21455851,False
AT1G58025,AT1G58025,1,R,21457667,21462243,False
AT1G58030,CAT2,1,R,21464001,21468420,False
AT1G58037,AT1G58037,1,R,21472965,21474602,False
AT1G58040,AT1G58040,1,F,21476022,21476737,False
AT1G58050,AT1G58050,1,R,21478590,21487839,False
AT1G58055,AT1G58055,1,F,21488741,21489132,False
AT1G58060,AT1G58060,1,R,21489285,21501811,False
AT1G58070,WAL,1,F,21502905,21504075,False
AT1G58080,ATP-PRT1,1,R,21504314,21507540,False
AT1G58090,AT1G58090,1,F,21510510,21511625,False
AT1G58100,TCP8,1,R,21512384,21514022,False
AT1G58110,AT1G58110,1,R,21515474,21518159,False
AT1G58120,AT1G58120,1,F,21520401,21522457,False
AT1G58122,AT1G58122,1,F,21520401,21522457,False
AT1G58130,AT1G58130,1,R,21523336,21524056,False
AT1G58140,AT1G58140,1,R,21525422,21529384,False
AT1G58150,AT1G58150,1,F,21530103,21530458,False
AT1G58160,JAX1,1,F,21533757,21534598,False
AT1G58170,AT1G58170,1,F,21536128,21536836,False
AT1G58180,BCA6,1,R,21537770,21539914,False
AT1G58190,RLP9,1,F,21540632,21548112,False
AT1G58200,MSL3,1,R,21548187,21553127,False
AT1G58210,EMB1674,1,F,21553621,21558056,False
AT1G58220,DRMY1,1,R,21558243,21562965,False
AT1G58225,AT1G58225,1,F,21564111,21565171,False
AT1G58230,BCHB,1,F,21566148,21579123,False
AT1G58235,AT1G58235,1,R,21579685,21580696,False
AT1G58242,AT1G58242,1,R,21581964,21582370,False
AT1G58245,AT1G58245,1,R,21584252,21584524,False
AT1G58248,AT1G58248,1,R,21586036,21586311,False
AT1G58250,SAB,1,R,21587142,21601621,False
AT1G58260,CYP79C2,1,F,21605752,21607995,False
AT1G58265,AT1G58265,1,F,21610909,21611388,False
AT1G58270,ZW9,1,R,21612116,21614117,False
AT1G58280,AT1G58280,1,R,21620331,21622611,False
AT1G58290,HEMA1,1,R,21623726,21626200,False
AT1G58300,HO4,1,R,21628012,21629996,False
AT1G58310,AT1G58310,1,F,21631947,21633642,False
AT1G58320,AT1G58320,1,R,21634123,21635303,False
AT1G58330,ZW2,1,F,21641130,21642041,False
AT1G58340,ZF14,1,F,21653008,21655439,False
AT1G58350,ZW18,1,R,21662916,21667445,False
AT1G58360,AAP1,1,F,21676530,21680502,False
AT1G58370,AT1G58370,1,F,21684584,21688321,False
AT1G58380,XW6,1,F,21689032,21690256,False
AT1G58390,AT1G58390,1,R,21690962,21694447,False
AT1G58400,AT1G58400,1,R,21696165,21699118,False
AT1G58410,AT1G58410,1,R,21701185,21704255,False
AT1G58420,AT1G58420,1,F,21707379,21708118,False
AT1G58430,RXF26,1,R,21711565,21713103,False
AT1G58440,XF1,1,R,21713842,21717290,False
AT1G58450,TPR6,1,F,21718014,21718916,False
AT1G58460,AT1G58460,1,F,21721404,21722429,False
AT1G58470,RBP1,1,F,21727024,21728760,False
AT1G58520,RXW8,1,F,21729913,21738652,False
AT1G58561,AT1G58561,1,F,21748675,21753246,False
AT1G58590,AT1G58590,1,R,21742944,21743891,False
AT1G58602,RPP7,1,F,21746354,21765705,False
AT1G58643,AT1G58643,1,F,21767342,21769456,False
AT1G58684,AT1G58684,1,R,21769762,21771229,False
AT1G58725,AT1G58725,1,R,21771935,21773365,False
AT1G58766,AT1G58766,1,R,21774381,21776765,False
AT1G58807,AT1G58807,1,F,21780185,21784314,False
AT1G58808,AT1G58808,1,F,21784645,21786869,False
AT1G58848,AT1G58848,1,F,21791783,21797050,False
AT1G58889,AT1G58889,1,R,21797094,21801662,False
AT1G58936,AT1G58936,1,F,21803600,21805714,False
AT1G58983,AT1G58983,1,R,21806020,21807487,False
AT1G59030,AT1G59030,1,R,21808193,21809509,False
AT1G59077,AT1G59077,1,R,21810644,21813023,False
AT1G59124,AT1G59124,1,F,21816443,21820572,False
AT1G59171,AT1G59171,1,F,21821024,21822548,False
AT1G59218,RPP13,1,F,21828033,21832708,False
AT1G59265,AT1G59265,1,R,21833352,21837779,False
AT1G59312,AT1G59312,1,F,21839858,21841972,False
AT1G59359,AT1G59359,1,R,21842304,21843745,False
AT1G59406,AT1G59406,1,R,21844451,21845881,False
AT1G59453,AT1G59453,1,R,21846902,21853384,False
AT1G59500,GH3.4,1,R,21854493,21856614,False
AT1G59510,CF9,1,F,21859595,21861076,False
AT1G59520,AT1G59520,1,F,21861382,21866190,False
AT1G59530,bZIP4,1,F,21868262,21868708,False
AT1G59535,AT1G59535,1,R,21871208,21871527,False
AT1G59540,ZCF125,1,F,21874012,21879539,False
AT1G59550,AT1G59550,1,R,21879649,21880788,False
AT1G59560,ZCF61,1,F,21881599,21883792,False
AT1G59570,AT1G59570,1,R,21883843,21883924,False
AT1G59580,MPK2,1,F,21884043,21886051,False
AT1G59590,ZCF37,1,F,21887752,21888792,False
AT1G59600,ZCW7,1,R,21889695,21891962,False
AT1G59610,DL3,1,F,21893221,21901086,False
AT1G59620,CW9,1,F,21902284,21905685,False
AT1G59630,AT1G59630,1,R,21907177,21907955,False
AT1G59640,BPEp,1,R,21909175,21911201,False
AT1G59650,CW14,1,F,21919745,21922923,False
AT1G59660,DRAL,1,F,21924693,21929424,False
AT1G59670,GSTU15,1,F,21930010,21931366,False
AT1G59675,AT1G59675,1,R,21931833,21932403,False
AT1G59680,AT1G59680,1,F,21933021,21934216,False
AT1G59690,AT1G59690,1,R,21935310,21935820,False
AT1G59700,GSTU16,1,F,21936296,21937959,False
AT1G59710,AT1G59710,1,F,21938367,21940184,False
AT1G59720,CRR28,1,R,21939752,21941784,False
AT1G59722,AT1G59722,1,R,21944689,21945221,False
AT1G59725,AT1G59725,1,F,21950738,21952210,False
AT1G59730,TH7,1,R,21952634,21953456,False
AT1G59740,NPF4.3,1,F,21968071,21972411,False
AT1G59750,ARF1,1,F,21979289,21984433,False
AT1G59760,MTR4,1,R,21984445,21990175,False
AT1G59770,AT1G59770,1,R,21991527,21992653,False
AT1G59780,AT1G59780,1,R,21993581,21997691,False
AT1G59790,AT1G59790,1,F,22001504,22003385,False
AT1G59800,AT1G59800,1,F,22004964,22006172,False
AT1G59810,AGL50,1,F,22008604,22009455,False
AT1G59820,ALA3,1,F,22011328,22020294,False
AT1G59830,PP2A-1,1,R,22020519,22022484,False
AT1G59833,AT1G59833,1,F,22023337,22023714,False
AT1G59835,CEP2,1,R,22025041,22025421,False
AT1G59840,CCB4,1,F,22026507,22029379,False
AT1G59850,AT1G59850,1,R,22028509,22030207,False
AT1G59860,HSP17.6A,1,F,22031413,22032132,False
AT1G59865,AT1G59865,1,R,22032313,22033297,False
AT1G59870,PEN3,1,F,22034506,22040038,False
AT1G59880,AT1G59880,1,R,22040612,22040683,False
AT1G59885,AT1G59885,1,F,22042308,22042815,False
AT1G59890,SNL5,1,F,22043829,22051086,False
AT1G59900,E1 ALPHA,1,F,22051295,22053885,False
AT1G59910,FORMIN7,1,R,22053951,22057052,False
AT1G59920,AT1G59920,1,R,22059424,22059822,False
AT1G59930,AT1G59930,1,R,22061083,22061481,False
AT1G59940,AT1G59940,1,R,22065617,22066973,False
AT1G59950,AT1G59950,1,R,22068033,22070588,False
AT1G59960,AT1G59960,1,R,22071292,22073147,False
AT1G59970,AT5-MMP,1,F,22073534,22074876,False
AT1G59980,ARL2,1,F,22080789,22083651,False
AT1G59990,EMB3108,1,R,22090238,22093060,False
AT1G60000,CP28A,1,R,22093569,22094626,False
AT1G60010,AT1G60010,1,R,22095360,22096577,False
AT1G60020,AT1G60020,1,R,22100744,22105125,False
AT1G60025,MIR426,1,F,22107346,22107456,False
AT1G60030,NAT7,1,R,22113841,22116845,False
AT1G60040,AGL49,1,R,22119075,22119929,False
AT1G60050,UMAMIT35,1,R,22121550,22123702,False
AT1G60060,AT1G60060,1,F,22139184,22141790,False
AT1G60070,AP1G1,1,R,22142604,22149527,False
AT1G60072,MIR859A,1,F,22149718,22149843,False
AT1G60073,MIR774A,1,F,22149936,22150033,False
AT1G60075,AT1G60075,1,F,22150916,22152139,False
AT1G60080,AT1G60080,1,R,22152230,22154589,False
AT1G60090,BGLU4,1,F,22155582,22158065,False
AT1G60095,AT1G60095,1,F,22160099,22162419,False
AT1G60110,AT1G60110,1,F,22168502,22170649,False
AT1G60120,AT1G60120,1,R,22171633,22172685,False
AT1G60130,AT1G60130,1,F,22174179,22176321,False
AT1G60140,TPS10,1,R,22176934,22180875,False
AT1G60150,AT1G60150,1,R,22182519,22183143,False
AT1G60160,KT12,1,R,22188114,22191395,False
AT1G60170,PRP31,1,F,22192773,22195400,False
AT1G60180,AT1G60180,1,R,22195525,22196685,False
AT1G60190,PUB19,1,F,22198403,22200678,False
AT1G60200,RBM25,1,R,22200733,22205288,False
AT1G60220,ULP1D,1,F,22208332,22212171,False
AT1G60230,AT1G60230,1,R,22212084,22214424,False
AT1G60240,AT1G60240,1,R,22215197,22216030,False
AT1G60250,BBX26,1,R,22217077,22217832,False
AT1G60260,BGLU5,1,R,22218788,22221409,False
AT1G60270,BGLU6,1,R,22221677,22224257,False
AT1G60280,NAC023,1,R,22226885,22227928,False
AT1G60290,AT1G60290,1,R,22228700,22228977,False
AT1G60300,AT1G60300,1,R,22229780,22230748,False
AT1G60310,AT1G60310,1,R,22231188,22232737,False
AT1G60320,AT1G60320,1,F,22235091,22235606,False
AT1G60330,AT1G60330,1,R,22238008,22238362,False
AT1G60340,AT1G60340,1,R,22238734,22240399,False
AT1G60350,NAC024,1,R,22241273,22242235,False
AT1G60360,BTL17,1,R,22242748,22243731,False
AT1G60370,KUK,1,F,22244963,22245814,False
AT1G60380,AT1G60380,1,R,22246455,22247411,False
AT1G60390,PG1,1,R,22247474,22249636,False
AT1G60400,PEG3,1,F,22254405,22255798,False
AT1G60410,AT1G60410,1,F,22258982,22260715,False
AT1G60420,NRX1,1,F,22261888,22264408,False
AT1G60430,ARPC3,1,R,22264385,22266038,False
AT1G60440,PANK1,1,R,22266497,22269243,False
AT1G60450,GolS7,1,R,22271226,22273214,False
AT1G60460,MTOPVIB,1,F,22275484,22279007,False
AT1G60470,GolS4,1,R,22278975,22280586,False
AT1G60480,AT1G60480,1,R,22284122,22285076,False
AT1G60490,VPS34,1,R,22285572,22290315,False
AT1G60500,DRP4C,1,F,22291582,22293964,False
AT1G60505,AT1G60505,1,R,22294384,22297220,False
AT1G60510,AT1G60510,1,F,22294722,22297139,False
AT1G60520,AT1G60520,1,F,22297973,22298736,False
AT1G60525,AT1G60525,1,R,22299526,22301343,False
AT1G60530,DRP4A,1,F,22299797,22301167,False
AT1G60540,AT1G60540,1,R,22302486,22304985,False
AT1G60545,AT1G60545,1,F,22302492,22305156,False
AT1G60550,ECHID,1,R,22305831,22308229,False
AT1G60560,AT1G60560,1,R,22308549,22311350,False
AT1G60570,AT1G60570,1,F,22311836,22312981,False
AT1G60580,AT1G60580,1,R,22313414,22313484,False
AT1G60590,AT1G60590,1,R,22314170,22316970,False
AT1G60600,ABC4,1,R,22324645,22327359,False
AT1G60610,AT1G60610,1,R,22327912,22330276,False
AT1G60620,RPAC43,1,F,22331106,22333524,False
AT1G60625,RALFL6,1,F,22333916,22334161,False
AT1G60630,AT1G60630,1,R,22334662,22336908,False
AT1G60640,AT1G60640,1,R,22337375,22339672,False
AT1G60650,RBGB1,1,F,22339809,22342337,False
AT1G60660,CB5LP,1,R,22342414,22343014,False
AT1G60670,AT1G60670,1,F,22343655,22347624,False
AT1G60680,AT1G60680,1,R,22347622,22349297,False
AT1G60690,AT1G60690,1,R,22349892,22351668,False
AT1G60700,AT1G60700,1,R,22351832,22354472,False
AT1G60710,ATB2,1,R,22354753,22356761,False
AT1G60720,AT1G60720,1,F,22357072,22357941,False
AT1G60730,AT1G60730,1,R,22358035,22360184,False
AT1G60740,PRXIID,1,F,22361074,22361952,False
AT1G60750,AT1G60750,1,R,22362293,22363854,False
AT1G60760,AT1G60760,1,F,22365832,22366323,False
AT1G60770,RPPR4,1,R,22366701,22368714,False
AT1G60780,HAP13,1,R,22368953,22372159,False
AT1G60783,AT1G60783,1,F,22374909,22375846,False
AT1G60790,TBL2,1,R,22380038,22382245,False
AT1G60800,NIK3,1,R,22383453,22387457,False
AT1G60810,ACLA-2,1,R,22388527,22391165,False
AT1G60815,RALFL7,1,F,22392729,22392974,False
AT1G60820,AT1G60820,1,R,22394637,22394707,False
AT1G60830,AT1G60830,1,R,22395058,22395603,False
AT1G60835,AT1G60835,1,F,22396666,22396913,False
AT1G60840,AT1G60840,1,R,22397592,22397662,False
AT1G60850,ATRPAC42,1,R,22397916,22400362,False
AT1G60860,AGD2,1,R,22400927,22407777,False
AT1G60870,MEE9,1,F,22409472,22410654,False
AT1G60880,AGL56,1,F,22411575,22412180,False
AT1G60890,PIP5K8,1,R,22412246,22417244,False
AT1G60900,U2AF65b,1,F,22423909,22428022,False
AT1G60910,AT1G60910,1,F,22428167,22428237,False
AT1G60913,AT1G60913,1,R,22428605,22428844,False
AT1G60920,AGL55,1,R,22429692,22430267,False
AT1G60930,RECQ4B,1,R,22430847,22438877,False
AT1G60940,SNRK2.10,1,R,22439123,22442217,False
AT1G60950,FED A,1,F,22444390,22445222,False
AT1G60960,IRT3,1,R,22445310,22447214,False
AT1G60970,AT1G60970,1,R,22447848,22449526,False
AT1G60980,GA20OX4,1,F,22452573,22454140,False
AT1G60983,SCRL8,1,F,22455320,22455589,False
AT1G60985,SCRL6,1,F,22456749,22457321,False
AT1G60986,SCRL4,1,F,22459000,22459650,False
AT1G60987,SCRL5,1,F,22460377,22461164,False
AT1G60989,SCRL7,1,F,22462160,22462721,False
AT1G60990,IBA57.2,1,R,22462026,22465424,False
AT1G60995,HISE1,1,R,22465640,22470716,False
AT1G61000,NUF2,1,R,22470924,22474105,False
AT1G61010,CPSF73-I,1,R,22474298,22477731,False
AT1G61020,AT1G61020,1,R,22477773,22477846,False
AT1G61030,WAPL2,1,F,22477896,22482380,False
AT1G61040,VIP5,1,F,22483207,22485969,False
AT1G61050,AT1G61050,1,F,22486736,22488284,False
AT1G61060,AT1G61060,1,R,22488548,22489711,False
AT1G61065,AT1G61065,1,R,22490244,22491461,False
AT1G61070,LCR66,1,R,22491733,22492542,False
AT1G61080,AT1G61080,1,R,22493194,22497019,False
AT1G61090,AT1G61090,1,R,22499317,22500331,False
AT1G61093,AT1G61093,1,R,22501885,22502941,False
AT1G61095,AT1G61095,1,R,22504514,22505511,False
AT1G61097,AT1G61097,1,R,22506919,22507947,False
AT1G61100,AT1G61100,1,R,22508538,22512333,False
